"Location Type","Gross Salary","Unit Salary","Converted Salary","Segment","Role Type","Location","Education","Year of Experience","Certificate","Year","Start Date","End Date","Index","Adjusted Salary","Engineering","Production","Operational Support","Facilities","Non-Engineering","Drilling","Individual","Management","Sumatra","Jakarta","D3","D4","S1","S2","S3","SMA"
"Non-Remote","Rp7.300.000","Monthly","Rp7.300.000","Operational Support","Individual","Sumatra","D3",1,0,44776,44776,45506,2060959663,7533282.03,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"Non-Remote","Rp40.794.026","Monthly","Rp40.794.026","Production, Seismic and G&G","Individual","Sumatra, Jakarta","D3",3,0,44470,44470,45442,1826598128,47498994.8,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp34.407.558","Monthly","Rp34.407.558","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",10,0,44470,44470,45458,1826598128,40062837.11,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp17.817.276","Monthly","Rp17.817.276","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",5,0,44470,44470,45445,1826598128,20745750.86,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp30.859.520","Monthly","Rp30.859.520","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",2,0,44470,44470,45445,1826598128,35931638.13,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp17.817.276","Monthly","Rp17.817.276","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",5,0,44470,44470,45506,1826598128,20745750.86,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp32.278.735","Monthly","Rp32.278.735","Engineering","Individual","Sumatra, Jakarta","S1",5,0,44470,44470,45506,1826598128,37584117.49,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp17.817.276","Monthly","Rp17.817.276","Engineering","Individual","Sumatra, Jakarta","S1",5,0,44470,44470,45505,1826598128,20745750.86,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp11.500.000","Monthly","Rp11.500.000","Non-Engineering","Individual","Sumatra, Jakarta","SMA",5,0,44781,44781,45505,2056041657,11895885.89,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp11.500.000","Monthly","Rp11.500.000","Non-Engineering","Individual","Sumatra, Jakarta","SMA",5,0,44781,44781,45505,2056041657,11895885.89,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp11.500.000","Monthly","Rp11.500.000","Non-Engineering","Individual","Sumatra, Jakarta","D3",3,0,44781,44781,45505,2056041657,11895885.89,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Non-Engineering","Individual","Sumatra, Jakarta","S1",0,0,44781,44781,45505,2056041657,13964735.61,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Non-Engineering","Individual","Sumatra, Jakarta","D3",8,0,44781,44781,45505,2056041657,13964735.61,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp19.000.000","Monthly","Rp19.000.000","Non-Engineering","Management","Sumatra, Jakarta","S1",3,0,44781,44781,45505,2056041657,19654072.34,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
"Non-Remote","Rp24.000.000","Monthly","Rp24.000.000","Non-Engineering","Individual","Sumatra, Jakarta","S2",0,0,44781,44781,45442,2056041657,24826196.64,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
"Non-Remote","Rp24.000.000","Monthly","Rp24.000.000","Non-Engineering","Individual","Sumatra, Jakarta","S1",5,0,44781,44781,45442,2056041657,24826196.64,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Operational Support","Individual","Sumatra, Jakarta","S2",0,0,44781,44781,45458,2056041657,13964735.61,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Operational Support","Individual","Sumatra, Jakarta","S1",8,0,44781,44781,45458,2056041657,13964735.61,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Engineering","Individual","Sumatra, Jakarta","S2",3,0,44781,44781,45505,2056041657,13964735.61,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Engineering","Individual","Sumatra, Jakarta","SMA",3,0,44781,44781,45505,2056041657,13964735.61,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp13.500.000","Monthly","Rp13.500.000","Engineering","Individual","Sumatra, Jakarta","D4",1,0,44781,44781,45445,2056041657,13964735.61,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"Non-Remote","Rp24.000.000","Monthly","Rp24.000.000","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",0,0,44781,44781,45445,2056041657,24826196.64,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp24.000.000","Monthly","Rp24.000.000","Production, Seismic and G&G","Individual","Sumatra, Jakarta","S1",3,0,44781,44781,45506,2056041657,24826196.64,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp20.009.539","Monthly","Rp20.009.539","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",2,0,44907,44907,45514,1928155832,22071193.15,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp22.236.732","Monthly","Rp22.236.732","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",2,4,44907,44907,45513,1928155832,24527861.78,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp22.236.732","Monthly","Rp22.236.732","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",3,2,44907,44907,45513,1928155832,24527861.78,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp69.189.353","Monthly","Rp69.189.353","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",10,2,44907,44907,45513,1928155832,76318178.74,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp43.975.305","Monthly","Rp43.975.305","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",15,1,44907,44907,45513,1928155832,48506237.47,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp20.009.539","Monthly","Rp20.009.539","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",10,1,44907,44907,45513,1928155832,22071193.15,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp21.236.732","Monthly","Rp21.236.732","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",0,4,44907,44907,45513,1928155832,23424828.22,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp57.245.857","Monthly","Rp57.245.857","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",3,3,44907,44907,45513,1928155832,63144101.76,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp22.236.732","Monthly","Rp22.236.732","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",10,1,44907,44907,45513,1928155832,24527861.78,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp22.236.732","Monthly","Rp22.236.732","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",7,2,44907,44907,45513,1928155832,24527861.78,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp14.487.170","Monthly","Rp14.487.170","Engineering","Individual","Sumatra, Jakarta","S1",5,2,44907,44907,45536,1928155832,15979834.78,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp14.487.170","Monthly","Rp14.487.170","Engineering","Individual","Sumatra, Jakarta","D3",0,10,44907,44907,45536,1928155832,15979834.78,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp11.139.968","Monthly","Rp11.139.968","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",0,10,44907,44907,45536,1928155832,12287758.62,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp11.139.968","Monthly","Rp11.139.968","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",5,0,44907,44907,45536,1928155832,12287758.62,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp11.506.350","Monthly","Rp11.506.350","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",3,0,44907,44907,45536,1928155832,12691890.27,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp11.506.350","Monthly","Rp11.506.350","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",5,0,44907,44907,45697,1928155832,12691890.27,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp10.773.585","Monthly","Rp10.773.585","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",3,0,44907,44907,45697,1928155832,11883625.88,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp10.773.585","Monthly","Rp10.773.585","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",5,0,44907,44907,45697,1928155832,11883625.88,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp9.308.055","Monthly","Rp9.308.055","Operational Support","Individual","Sumatra, Jakarta","D3",3,0,44907,44907,45697,1928155832,10267097.1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp9.308.055","Monthly","Rp9.308.055","Operational Support","Individual","Sumatra, Jakarta","SMA",5,0,44907,44907,45025,1928155832,10267097.1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp28.387.115","Monthly","Rp28.387.115","Non-Engineering","Individual","Sumatra, Jakarta","D3",3,0,44907,44907,45025,1928155832,31311940.67,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp28.387.115","Monthly","Rp28.387.115","Non-Engineering","Individual","Sumatra, Jakarta","SMA",15,0,44907,44907,45025,1928155832,31311940.67,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp28.387.115","Monthly","Rp28.387.115","Non-Engineering","Individual","Sumatra, Jakarta","D3",10,0,44907,44907,45513,1928155832,31311940.67,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp28.387.115","Monthly","Rp28.387.115","Non-Engineering","Individual","Sumatra, Jakarta","S1",5,0,44907,44907,45513,1928155832,31311940.67,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp28.387.115","Monthly","Rp28.387.115","Non-Engineering","Individual","Sumatra, Jakarta","SMA",15,0,44907,44907,45513,1928155832,31311940.67,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp28.387.115","Monthly","Rp28.387.115","Non-Engineering","Individual","Sumatra, Jakarta","D3",10,0,44907,44907,45513,1928155832,31311940.67,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp23.954.802","Monthly","Rp23.954.802","Non-Engineering","Individual","Sumatra, Jakarta","S1",7,0,44907,44907,45513,1928155832,26422950.66,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp23.954.802","Monthly","Rp23.954.802","Non-Engineering","Individual","Sumatra, Jakarta","D3",5,0,44907,44907,45513,1928155832,26422950.66,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp15.487.170","Monthly","Rp15.487.170","Operational Support","Individual","Sumatra, Jakarta","S1",3,0,44907,44907,45513,1928155832,17082868.35,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp15.487.170","Monthly","Rp15.487.170","Operational Support","Individual","Sumatra, Jakarta","D3",10,0,44907,44907,45904,1928155832,17082868.35,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp10.805.590","Monthly","Rp10.805.590","Operational Support","Individual","Sumatra, Jakarta","S1",4,0,44907,44907,45445,1928155832,11918928.47,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp10.805.590","Monthly","Rp10.805.590","Operational Support","Individual","Sumatra, Jakarta","SMA",10,0,44907,44907,45445,1928155832,11918928.47,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp10.805.590","Monthly","Rp10.805.590","Operational Support","Individual","Sumatra, Jakarta","D3",7,0,44907,44907,45445,1928155832,11918928.47,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp8.591.167","Monthly","Rp8.591.167","Operational Support","Individual","Sumatra, Jakarta","S1",3,0,44907,44907,45506,1928155832,9476345.57,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp57.264.984","Monthly","Rp57.264.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",3,0,44907,44907,45506,1928155832,63165199.48,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp57.264.984","Monthly","Rp57.264.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",15,1,44907,44907,45506,1928155832,63165199.48,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp57.264.984","Monthly","Rp57.264.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",10,1,44907,44907,45505,1928155832,63165199.48,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp40.008.784","Monthly","Rp40.008.784","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",10,1,44907,44907,45505,1928155832,44131031.67,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp40.008.784","Monthly","Rp40.008.784","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",15,2,44907,44907,45505,1928155832,44131031.67,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp40.008.784","Monthly","Rp40.008.784","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",10,2,44907,44907,45445,1928155832,44131031.67,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp30.716.984","Monthly","Rp30.716.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",10,2,44907,44907,45445,1928155832,33881864.38,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp30.716.984","Monthly","Rp30.716.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",10,2,44907,44907,45506,1928155832,33881864.38,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp30.716.984","Monthly","Rp30.716.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",5,2,44907,44907,45506,1928155832,33881864.38,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp24.079.984","Monthly","Rp24.079.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",5,2,44907,44907,45505,1928155832,26561030.61,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp24.079.984","Monthly","Rp24.079.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",5,5,44907,44907,45505,1928155832,26561030.61,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp24.079.984","Monthly","Rp24.079.984","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",5,5,44907,44907,45623,1928155832,26561030.61,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp170.066.850","Monthly","Rp170.066.850","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",2,0,44782,44782,45505,2115154491,171004851.89,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp62.887.576","Monthly","Rp62.887.576","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",12,2,45173,45173,37256,2035336061,65714254.69,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp42.917.041","Monthly","Rp42.917.041","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",8,0,45173,45173,37256,2035336061,44846081.57,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp30.435.457","Monthly","Rp30.435.457","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",4,0,45173,45173,45623,2035336061,31803473.76,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp28.771.246","Monthly","Rp28.771.246","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",0,0,45173,45173,45623,2035336061,30064459.59,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Engineering","Individual","Sumatra, Jakarta","D3",4,0,45173,45173,45623,2035336061,22238895.32,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Engineering","Individual","Sumatra, Jakarta","S1",4,0,45173,45173,45754,2035336061,22238895.32,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp84.522.321","Monthly","Rp84.522.321","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",20,0,45173,45173,45754,2035336061,88321440.93,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp76.201.265","Monthly","Rp76.201.265","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",20,2,45173,45173,45754,2035336061,79626369.06,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp59.559.153","Monthly","Rp59.559.153","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",15,2,45173,45173,37256,2035336061,62236225.31,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp42.917.041","Monthly","Rp42.917.041","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",10,0,45173,45173,37256,2035336061,44846081.57,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp30.435.457","Monthly","Rp30.435.457","Engineering","Individual","Sumatra, Jakarta","S1",7,0,45173,45173,37256,2035336061,31803473.76,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp28.771.246","Monthly","Rp28.771.246","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",0,0,45173,45173,37256,2035336061,30064459.59,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp28.771.246","Monthly","Rp28.771.246","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",2,0,45173,45173,37256,2035336061,30064459.59,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Non-Engineering","Individual","Sumatra, Jakarta","S1",10,1,45173,45173,37256,2035336061,22238895.32,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp15.729.896","Monthly","Rp15.729.896","Non-Engineering","Individual","Sumatra, Jakarta","S1",2,0,45173,45173,45623,2035336061,16436925.35,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp17.845.073","Monthly","Rp17.845.073","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",0,0,45173,45173,45623,2035336061,18647175.59,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp17.845.073","Monthly","Rp17.845.073","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",0,0,45173,45173,45623,2035336061,18647175.59,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp37.924.408","Monthly","Rp37.924.408","Engineering","Individual","Sumatra, Jakarta","S1",8,0,45173,45173,45754,2035336061,39629039.07,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp30.435.457","Monthly","Rp30.435.457","Engineering","Individual","Sumatra, Jakarta","D3",1,0,45173,45173,45754,2035336061,31803473.76,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Engineering","Individual","Sumatra, Jakarta","D3",1,0,45173,45173,45754,2035336061,22238895.32,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp15.160.739","Monthly","Rp15.160.739","Operational Support","Individual","Sumatra, Jakarta","D3",1,0,45173,45173,46021,2035336061,15842185.81,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp32.765.353","Monthly","Rp32.765.353","Engineering","Individual","Sumatra, Jakarta","S1",3,0,45173,45173,46021,2035336061,34238094.21,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Engineering","Individual","Sumatra, Jakarta","S1",1,0,45173,45173,46021,2035336061,22238895.32,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Remote","Rp54.566.520","Monthly","Rp54.566.520","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",10,0,45173,45173,46021,2035336061,57019182.82,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Remote","Rp54.566.520","Monthly","Rp54.566.520","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",5,0,45173,45173,46021,2035336061,57019182.82,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Remote","Rp54.566.520","Monthly","Rp54.566.520","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","S1",0,0,45173,45173,46021,2035336061,57019182.82,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Engineering","Individual","Sumatra, Jakarta","D3",3,1,45173,45173,46021,2035336061,22238895.32,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp21.282.296","Monthly","Rp21.282.296","Engineering","Individual","Sumatra, Jakarta","S1",3,1,45173,45173,46021,2035336061,22238895.32,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp30.435.457","Monthly","Rp30.435.457","Engineering","Individual","Sumatra, Jakarta","D3",4,1,45173,45173,46021,2035336061,31803473.76,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp30.435.457","Monthly","Rp30.435.457","Engineering","Individual","Sumatra, Jakarta","S1",4,1,45173,45173,45429,2035336061,31803473.76,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"Non-Remote","Rp15.729.896","Monthly","Rp15.729.896","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","SMA",5,0,45173,45173,46021,2035336061,16436925.35,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Non-Remote","Rp15.729.896","Monthly","Rp15.729.896","Drilling, Completion, Intervention","Individual","Sumatra, Jakarta","D3",3,0,45173,45173,46021,2035336061,16436925.35,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"Non-Remote","Rp15.160.739","Monthly","Rp15.160.739","Operational Support","Individual","Sumatra, Jakarta","SMA",5,0,45173,45173,46021,2035336061,15842185.81,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
